latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.3904,-122.5231,340.5,1.4,1.2,2017-10-09,0632,Terra,MODIS,100,6.03,294.4,69.7,N,0
38.4262,-122.5516,380.8,1.4,1.2,2017-10-09,0632,Terra,MODIS,100,6.03,298.9,244.7,N,2
38.5858,-122.6698,317.4,1.3,1.1,2017-10-09,0632,Terra,MODIS,95,6.03,291.8,19.1,N,0
38.512,-122.7122,399.7,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,304.8,804.4,N,2
38.5174,-122.7369,376.6,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,298,444.2,N,0
38.5248,-122.709,367.6,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,301.8,344.2,N,0
38.5299,-122.7326,350.4,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,295.2,198.4,N,0
38.4985,-122.7127,431.8,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,315.4,1616.5,N,0
38.5037,-122.7361,402.7,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,308.1,859.7,N,0
38.5091,-122.7599,339.1,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,292.3,131.8,N,2
38.5109,-122.7076,403.4,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,306,878.1,N,2
38.5164,-122.7322,381.8,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,300.5,512,N,0
38.5218,-122.7561,315.5,2.2,1.4,2017-10-09,1045,Aqua,MODIS,90,6.03,290.9,41.9,N,0
38.5238,-122.7047,381.3,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,302.2,508.6,N,0
38.529,-122.728,369.5,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,297.4,367.4,N,0
38.5366,-122.7012,350.8,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,296.3,204.5,N,0
