"lc","lc_name","area_Mkm2","cum_area_Mkm2","cum_pct_total_area","n_events_orig","sum_area_events_orig_km2","mean_area_events_orig_km2","sd_area_events_orig_km2","min_area_events_orig_km2","max_area_events_orig_km2","n_obs_orig","n_obs_suff_stat","n_events_subset","sum_area_events_subset_km2","mean_area_events_subset_km2","sd_area_events_subset_km2","min_area_events_subset_km2","max_area_events_subset_km2","n_obs_subset","vpd_thresh_hpa","sd"
109,"Equatorial Savannas",6.76029362844368,6.76029362844368,0.0470157521762452,27814,389078.17064095,13.9885730438251,57.8324769468864,0.216515924162865,2881.56709056746,4719649,721288,3741,56495.1923803005,15.1016285432506,54.8038701972828,0.216515924162865,1446.37750633315,98928,18.391,13.671101565639
110,"Equatorial Grasslands",4.48166712358394,11.2419607520276,0.0781843614704181,19153,171472.91893988,8.95279689551922,24.7228992878895,0.216515924162388,1476.93609827842,2971001,435055,4363,41131.7424122245,9.42739913184151,31.2697340856374,0.216515924162626,1476.93609827842,99914,20.789,14.8066105072942
102,"Equatorial Evergreen Broadleaf Forests",10.6756927727005,21.9176535247281,0.15243050421179,5843,49463.4305963962,8.46541684004727,41.0153159115664,0.216515924162865,1744.1402961157,1262119,180006,3218,24789.0503761546,7.70324747549863,27.5298763295277,0.216515924162865,761.552599789035,98541,14.139,13.1204353900633
108,"Equatorial Woody Savannas",2.66101958881136,24.5786731135395,0.170937072772258,5613,54832.3882787529,9.76882028839353,87.6127470523811,0.216515924162865,5555.23952162789,1051101,154498,3599,37137.7934280002,10.3189200966936,106.614480289314,0.216515924162865,5555.23952162789,99488,20.285,14.162356701741
309,"Temperate Savannas",3.45690658204133,28.0355796955808,0.194978789314547,5465,33882.1852310815,6.19985091145134,12.8884485194588,0.216515924162865,348.098698634288,493613,90476,5465,33882.1852310815,6.19985091145134,12.8884485194588,0.216515924162865,348.098698634288,90399,11.871,12.7881936526195
112,"Equatorial Croplands",2.16231773450527,30.1978974300861,0.210017040656776,4093,22777.8788010158,5.56508155412064,9.86334311880029,0.216515924162388,298.383251312777,671324,77266,4093,22777.8788010158,5.56508155412064,9.86334311880029,0.216515924162388,298.383251312777,77235,21.911,14.532386908876
310,"Temperate Grasslands",3.12344664538534,33.3213440754714,0.231739646431958,2518,21234.3796670237,8.43303402185215,34.0150119850876,0.216515924162865,1094.09453826171,229593,38322,2518,21234.3796670237,8.43303402185215,34.0150119850876,0.216515924162865,1094.09453826171,38296,10.869,12.4520236063016
312,"Temperate Croplands",2.67289420500526,35.9942382804767,0.250328799276904,1761,9976.34842097067,5.66516094319743,10.7865493089428,0.216515924162865,259.532823322437,207158,28504,1761,9976.34842097067,5.66516094319743,10.7865493089428,0.216515924162865,259.532823322437,28493,20.128,13.3809815285227
210,"Arid Grasslands",14.4758600029639,50.4700982834406,0.351003930246629,1546,39832.2975451723,25.7647461482356,94.0609536497965,0.216515924162865,2172.90539552592,185921,35199,1546,39832.2975451723,25.7647461482356,94.0609536497965,0.216515924162865,2172.90539552592,35158,11.879,14.6505630607836
104,"Equatorial Deciduous Broadleaf Forests",0.690721792812202,51.1608200762528,0.355807686772375,1366,24659.0855384302,18.05203919358,171.63693824861,0.216515924162865,6147.97974133962,266509,40877,1366,24659.0855384302,18.05203919358,171.63693824861,0.216515924162865,6147.97974133962,40866,16.729,13.1214988752327
209,"Arid Savannas",0.904245417857947,52.0650654941107,0.362096434097437,1218,11081.8131386077,9.09836875090943,24.0035791649989,0.216515924162865,425.884040873565,198067,35964,1218,11081.8131386077,9.09836875090943,24.0035791649989,0.216515924162865,425.884040873565,35915,15.243,16.1845571731478
308,"Temperate Woody Savannas",2.34391051122149,54.4089760053322,0.378397607060579,1217,16926.9837517443,13.9087787606773,199.087809334951,0.216515924162865,6809.07076256009,132789,22316,1217,16926.9837517443,13.9087787606773,199.087809334951,0.216515924162865,6809.07076256009,22289,9.871,12.0839720862546
114,"Equatorial Cropland Natural Vegetation Mosaics",0.476023374335077,54.8849993796673,0.38170820246189,893,3083.12494535975,3.45254753119793,3.85929091899723,0.216515924162865,48.7821937388976,141023,16857,893,3083.12494535975,3.45254753119793,3.85929091899723,0.216515924162865,48.7821937388976,16854,20.358,14.1475081900661
410,"Boreal Grasslands",4.45921537918303,59.3442147588503,0.412720666814927,590,11902.3103793529,20.173407422632,50.8356782840179,0.216515924162865,487.096258330805,74830,9097,590,11902.3103793529,20.173407422632,50.8356782840179,0.216515924162865,487.096258330805,9096,10.008,13.1487195127444
408,"Boreal Woody Savannas",5.93123486166079,65.2754496205111,0.453970571579662,427,28356.1667330736,66.4078846207813,233.907246520798,0.216515924163342,3195.85917524842,126615,9909,427,28356.1667330736,66.4078846207813,233.907246520798,0.216515924163342,3195.85917524842,9899,8.037,8.33313098853439
212,"Arid Croplands",2.62778384199342,67.9032334625045,0.472245995796161,397,2306.02293297906,5.80862199742836,8.47069613577913,0.216515924162865,80.36944260359,65911,8262,397,2306.02293297906,5.80862199742836,8.47069613577913,0.216515924162865,80.36944260359,8248,22.728,14.881178228402
412,"Boreal Croplands",4.21810428433173,72.1213377468363,0.501581607026314,331,1808.4512246258,5.46359886593898,7.91405960680685,0.216515924163342,82.1432161414371,20630,2882,331,1808.4512246258,5.46359886593898,7.91405960680685,0.216515924163342,82.1432161414371,2881,11.119,10.3704573373302
