cell,p,beta,n,pred_03,plusminus_03,pred_20,plusminus_20,variable
Equatorial,0.039280063487821835,-5.428210386296446e-5,216,8.863523564569679,0.49066712552274616,8.50830147689044,0.4907897381809292,percent_afd_night
Arid,2.440003784937207e-4,2.3749893853156724e-4,216,15.261997364703186,0.7810202531440584,16.81619041845376,0.7812154220566505,percent_afd_night
Temperate,0.7928461549575287,-3.388908770241276e-5,216,8.61670399061862,0.9780709797670717,8.39493380069403,0.978315389625573,percent_afd_night
Boreal,1.6386755659001096e-11,3.6979481947431176e-4,216,11.17964342238146,1.1616394549050248,13.599580721021354,1.1619297366337307,percent_afd_night
Equatorial,7.122669407409936e-19,-0.0028535854137750525,216,136.16384280141736,5.162645961250973,117.48997985367342,5.163936053273915,day_afd_per_op_per_Mkm2
Arid,3.54429872841747e-7,-1.8683164312267842e-4,216,23.255946598493594,1.7405483888257685,22.03332032589879,1.740983333931215,day_afd_per_op_per_Mkm2
Temperate,5.2907989155107044e-14,-0.0014228251487481466,216,76.00380631385465,3.152144027068701,66.69283854044677,3.1529317153771927,day_afd_per_op_per_Mkm2
Boreal,0.0012847557827796064,-9.983334119843896e-5,216,14.236521319032521,2.3223311594001235,13.583211934229936,2.3229114860244735,day_afd_per_op_per_Mkm2
Equatorial,9.006551083451585e-10,-3.221581021658283e-4,216,13.943329704171227,1.2518865691335161,11.835127083598046,1.252199402686042,night_afd_per_op_per_Mkm2
Arid,0.8003998778311807,2.3882090075550374e-5,216,3.7359438372568077,0.5975118143262526,3.8922282347112094,0.5976611263710976,night_afd_per_op_per_Mkm2
Temperate,3.827402114295885e-8,-1.7391074610537756e-4,216,5.940548292162957,0.7644533850891797,4.802476369649367,0.7646444141121709,night_afd_per_op_per_Mkm2
Boreal,0.0011460135925510314,1.522235289555615e-5,216,2.8271177839945185,0.6687956400176076,2.9267328613430377,0.6689627651558898,night_afd_per_op_per_Mkm2
Equatorial,2.14433798997642e-19,-3.5490305154994053e-4,216,25.63727943941806,0.4654700595669681,23.314793870075246,0.46558637573803097,mean_frp_per_night_detection
Arid,0.005309186239331018,3.8502371093522715e-4,216,36.80252432505168,2.568819093125761,39.322119489411804,2.569461014544615,mean_frp_per_night_detection
Temperate,0.4436163146734904,5.473368770706712e-5,216,31.856034592306052,3.6289895930207976,32.2142118446611,3.6298964401221667,mean_frp_per_night_detection
Boreal,2.101128852515492e-4,5.559612034836335e-4,216,37.55282375119197,3.716432226942331,41.19103386678887,3.717360925056788,mean_frp_per_night_detection
Equatorial,1.802426850318503e-30,-8.054802907577074e-4,216,44.661782337532244,0.6948773204464018,39.39071931481381,0.6950509631278479,mean_frp_per_day_detection
Arid,0.07970366787149595,3.0614638124175125e-4,216,55.43893489219506,3.0226557696381278,57.44235681104107,3.0234111001655037,mean_frp_per_day_detection
Temperate,0.4200490658069034,-7.267907510653094e-5,216,39.83442000585064,2.1337163183508068,39.3588081383535,2.13424951207012,mean_frp_per_day_detection
Boreal,0.001029147766002334,3.631485163133623e-4,216,42.918251283575,3.2651414073830978,45.29469517432965,3.265957332572455,mean_frp_per_day_detection
