latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.6013,147.9778,352.4,3.3,1.7,2019-12-27,0453,Aqua,MODIS,96,6.03,296.8,342.8,D,0
-37.6055,147.9481,331.5,3.3,1.7,2019-12-27,0453,Aqua,MODIS,73,6.03,294.9,132.6,D,0
-37.5477,147.9514,325.2,3.3,1.7,2019-12-27,0453,Aqua,MODIS,39,6.03,295.3,86.5,D,0
-37.5415,147.953,328.8,3.3,1.7,2019-12-27,0453,Aqua,MODIS,50,6.03,295.3,111,D,0
-37.5785,147.6886,326.2,3.2,1.7,2019-12-27,0453,Aqua,MODIS,39,6.03,296.3,90.7,D,0
-37.5596,147.6828,333.9,3.2,1.7,2019-12-27,0453,Aqua,MODIS,52,6.03,296.2,131.2,D,0
-37.6164,147.9832,316.7,3.3,1.7,2019-12-27,0453,Aqua,MODIS,37,6.03,294.7,51.6,D,0
-37.5966,147.9839,359.4,3.3,1.7,2019-12-27,0453,Aqua,MODIS,99,6.03,297.1,439.6,D,0
-37.6117,147.9892,320,3.3,1.7,2019-12-27,0453,Aqua,MODIS,73,6.03,295,71.6,D,0
-37.5197,147.5365,324.7,3.1,1.7,2019-12-27,0453,Aqua,MODIS,77,6.03,294.2,94.9,D,0
-37.5177,147.5526,308,1.7,1.3,2019-12-27,1240,Terra,MODIS,47,6.03,292,17,N,0
-37.2303,148.4173,303.6,1.5,1.2,2019-12-27,1240,Terra,MODIS,27,6.03,292.8,7.4,N,0
-37.5352,147.9598,318.2,1.6,1.2,2019-12-27,1240,Terra,MODIS,41,6.03,291.8,27.7,N,0
-37.5255,147.9403,314.1,1.6,1.2,2019-12-27,1240,Terra,MODIS,26,6.03,291.3,21,N,0
-37.4109,147.726,310.9,1.7,1.3,2019-12-27,1240,Terra,MODIS,63,6.03,292.5,19.2,N,0
-37.4011,147.706,306.9,1.7,1.3,2019-12-27,1240,Terra,MODIS,26,6.03,292.9,13.3,N,0
-37.5479,147.6975,320.7,1.7,1.3,2019-12-27,1240,Terra,MODIS,0,6.03,292.7,32.8,N,0
-37.509,147.646,302.5,1.7,1.3,2019-12-27,1240,Terra,MODIS,49,6.03,289.9,11.1,N,0
-37.5205,147.6481,312.7,1.7,1.3,2019-12-27,1240,Terra,MODIS,85,6.03,290.5,24,N,0
-37.5807,147.9658,324.6,1.6,1.2,2019-12-27,1240,Terra,MODIS,66,6.03,292.4,40.7,N,0
-37.5787,147.9709,318.7,1.6,1.2,2019-12-27,1240,Terra,MODIS,50,6.03,292.2,29.8,N,0
-37.532,147.6506,325.5,1.7,1.3,2019-12-27,1240,Terra,MODIS,100,6.03,291.3,47.8,N,0
-37.2073,148.5374,307.4,1.5,1.2,2019-12-27,1240,Terra,MODIS,43,6.03,293.5,10.4,N,0
-37.5496,147.6788,325.3,1.7,1.3,2019-12-27,1240,Terra,MODIS,57,6.03,292.7,41.2,N,0
-37.2056,148.5543,303.4,1.5,1.2,2019-12-27,1240,Terra,MODIS,15,6.03,292.6,6.7,N,0
-37.5397,147.6581,325.7,1.7,1.3,2019-12-27,1240,Terra,MODIS,83,6.03,291.9,46.1,N,0
-37.6346,147.866,300.8,1.6,1.3,2019-12-27,1240,Terra,MODIS,26,6.03,290.5,8.4,N,0
-37.6015,147.974,312,1.6,1.2,2019-12-27,1240,Terra,MODIS,21,6.03,291.5,20.1,N,0
-37.5901,147.9725,333.3,1.6,1.2,2019-12-27,1240,Terra,MODIS,100,6.03,293.3,64.1,N,0
-37.5918,147.9543,316.3,1.6,1.2,2019-12-27,1240,Terra,MODIS,16,6.03,291.5,25.2,N,0
-37.5921,147.9672,325.1,1.6,1.2,2019-12-27,1240,Terra,MODIS,89,6.03,292.5,42.6,N,0
-37.3918,147.5529,302.3,1.7,1.3,2019-12-27,1240,Terra,MODIS,32,6.03,291.9,8.5,N,0
-37.312,148.5074,309.1,1.5,1.2,2019-12-27,1240,Terra,MODIS,76,6.03,292.4,14.1,N,0
-37.3536,147.586,302.6,1.7,1.3,2019-12-27,1240,Terra,MODIS,17,6.03,292.1,8.4,N,0
-37.3553,147.5665,305.9,1.7,1.3,2019-12-27,1240,Terra,MODIS,57,6.03,292.6,13.2,N,0
-37.3577,147.5793,304.9,1.7,1.3,2019-12-27,1240,Terra,MODIS,10,6.03,292.9,11.3,N,0
-37.4856,147.8925,313.7,1.6,1.3,2019-12-27,1240,Terra,MODIS,88,6.03,291.7,23.9,N,0
-37.497,147.894,309.1,1.6,1.3,2019-12-27,1240,Terra,MODIS,61,6.03,292,16.4,N,0
-37.2851,148.5554,310,1.5,1.2,2019-12-27,1240,Terra,MODIS,79,6.03,293.9,14,N,0
-37.2633,148.5526,314.2,1.5,1.2,2019-12-27,1240,Terra,MODIS,78,6.03,294,18.6,N,0
-37.4951,147.9134,311.9,1.6,1.3,2019-12-27,1240,Terra,MODIS,84,6.03,292.1,20.3,N,0
-37.4946,147.9002,318.3,1.6,1.3,2019-12-27,1240,Terra,MODIS,86,6.03,292.6,29.3,N,0
-37.521,147.8644,308.1,1.6,1.3,2019-12-27,1240,Terra,MODIS,11,6.03,290.6,15.2,N,0
-37.545,147.6002,319,1.7,1.3,2019-12-27,1240,Terra,MODIS,65,6.03,292.1,32.1,N,0
-37.5467,147.581,312.1,1.7,1.3,2019-12-27,1240,Terra,MODIS,45,6.03,292,21.4,N,0
-37.5349,147.5807,322.3,1.7,1.3,2019-12-27,1240,Terra,MODIS,100,6.03,293.1,40.7,N,0
-37.5233,147.5785,316.2,1.7,1.3,2019-12-27,1240,Terra,MODIS,22,6.03,291.4,27,N,0
-37.5275,147.5736,321.1,1.7,1.3,2019-12-27,1240,Terra,MODIS,77,6.03,292.5,38.1,N,0
-37.516,147.5708,306.9,1.7,1.3,2019-12-27,1240,Terra,MODIS,42,6.03,291,15.2,N,0
