datetime_utc,name,value,fire_name,id
2017-10-08T14:00:00Z,VPD (kPa),0.48647,Tubbs,74238
2017-10-08T15:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T15:00:00Z,VPD (kPa),0.47835,Tubbs,74238
2017-10-08T16:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T16:00:00Z,VPD (kPa),0.50006,Tubbs,74238
2017-10-08T17:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T17:00:00Z,VPD (kPa),0.98965,Tubbs,74238
2017-10-08T18:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T18:00:00Z,VPD (kPa),1.6062,Tubbs,74238
2017-10-08T19:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T19:00:00Z,VPD (kPa),2.2457,Tubbs,74238
2017-10-08T20:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T20:00:00Z,VPD (kPa),2.7055,Tubbs,74238
2017-10-08T21:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T21:00:00Z,VPD (kPa),3.0687,Tubbs,74238
2017-10-08T22:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T22:00:00Z,VPD (kPa),3.4244,Tubbs,74238
2017-10-08T23:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-08T23:00:00Z,VPD (kPa),3.4893,Tubbs,74238
2017-10-09T00:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-09T00:00:00Z,VPD (kPa),3.4356,Tubbs,74238
2017-10-09T01:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-09T01:00:00Z,VPD (kPa),3.0656,Tubbs,74238
2017-10-09T02:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-09T02:00:00Z,VPD (kPa),2.7053,Tubbs,74238
2017-10-09T03:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-09T03:00:00Z,VPD (kPa),2.4985,Tubbs,74238
2017-10-09T04:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-09T04:00:00Z,VPD (kPa),2.1883,Tubbs,74238
2017-10-09T05:00:00Z,GOES Active Fire detections,2,Tubbs,74238
2017-10-09T05:00:00Z,VPD (kPa),2.084,Tubbs,74238
2017-10-09T06:00:00Z,GOES Active Fire detections,4,Tubbs,74238
2017-10-09T06:00:00Z,VPD (kPa),1.9709,Tubbs,74238
2017-10-09T07:00:00Z,GOES Active Fire detections,16,Tubbs,74238
2017-10-09T07:00:00Z,VPD (kPa),2.0034,Tubbs,74238
2017-10-09T08:00:00Z,GOES Active Fire detections,30,Tubbs,74238
2017-10-09T08:00:00Z,VPD (kPa),1.9938,Tubbs,74238
2017-10-09T09:00:00Z,GOES Active Fire detections,21,Tubbs,74238
2017-10-09T09:00:00Z,VPD (kPa),1.9832,Tubbs,74238
2017-10-09T10:00:00Z,GOES Active Fire detections,34,Tubbs,74238
2017-10-09T10:00:00Z,VPD (kPa),2.0169,Tubbs,74238
2017-10-09T11:00:00Z,GOES Active Fire detections,34,Tubbs,74238
2017-10-09T11:00:00Z,VPD (kPa),1.8241,Tubbs,74238
2017-10-09T12:00:00Z,GOES Active Fire detections,16,Tubbs,74238
2017-10-09T12:00:00Z,VPD (kPa),1.7239,Tubbs,74238
2017-10-09T13:00:00Z,GOES Active Fire detections,16,Tubbs,74238
2017-10-09T13:00:00Z,VPD (kPa),1.6204,Tubbs,74238
2017-10-09T14:00:00Z,GOES Active Fire detections,15,Tubbs,74238
2017-10-09T14:00:00Z,VPD (kPa),1.4682,Tubbs,74238
2017-10-09T15:00:00Z,GOES Active Fire detections,9,Tubbs,74238
2017-10-09T15:00:00Z,VPD (kPa),1.5052,Tubbs,74238
2017-10-09T16:00:00Z,GOES Active Fire detections,6,Tubbs,74238
2017-10-09T16:00:00Z,VPD (kPa),1.45,Tubbs,74238
2017-10-09T17:00:00Z,GOES Active Fire detections,8,Tubbs,74238
2017-10-09T17:00:00Z,VPD (kPa),1.7999,Tubbs,74238
2017-10-09T18:00:00Z,GOES Active Fire detections,8,Tubbs,74238
2017-10-09T18:00:00Z,VPD (kPa),2.1658,Tubbs,74238
2017-10-09T19:00:00Z,GOES Active Fire detections,12,Tubbs,74238
2017-10-09T19:00:00Z,VPD (kPa),2.3719,Tubbs,74238
2017-10-09T20:00:00Z,GOES Active Fire detections,9,Tubbs,74238
2017-10-09T20:00:00Z,VPD (kPa),2.596,Tubbs,74238
2017-10-09T21:00:00Z,GOES Active Fire detections,3,Tubbs,74238
2017-10-09T21:00:00Z,VPD (kPa),2.69,Tubbs,74238
2017-10-09T22:00:00Z,GOES Active Fire detections,6,Tubbs,74238
2017-10-09T22:00:00Z,VPD (kPa),3.0973,Tubbs,74238
2017-10-09T23:00:00Z,GOES Active Fire detections,8,Tubbs,74238
2017-10-09T23:00:00Z,VPD (kPa),3.1887,Tubbs,74238
2017-10-10T00:00:00Z,GOES Active Fire detections,4,Tubbs,74238
2017-10-10T00:00:00Z,VPD (kPa),3.2699,Tubbs,74238
2017-10-10T01:00:00Z,GOES Active Fire detections,5,Tubbs,74238
2017-10-10T01:00:00Z,VPD (kPa),3.0188,Tubbs,74238
2017-10-10T02:00:00Z,GOES Active Fire detections,6,Tubbs,74238
2017-10-10T02:00:00Z,VPD (kPa),2.9052,Tubbs,74238
2017-10-10T03:00:00Z,GOES Active Fire detections,4,Tubbs,74238
2017-10-10T03:00:00Z,VPD (kPa),2.2969,Tubbs,74238
2017-10-10T04:00:00Z,GOES Active Fire detections,5,Tubbs,74238
2017-10-10T04:00:00Z,VPD (kPa),1.686,Tubbs,74238
2017-10-10T05:00:00Z,GOES Active Fire detections,7,Tubbs,74238
2017-10-10T05:00:00Z,VPD (kPa),1.3881,Tubbs,74238
2017-10-10T06:00:00Z,GOES Active Fire detections,4,Tubbs,74238
2017-10-10T06:00:00Z,VPD (kPa),1.5073,Tubbs,74238
2017-10-10T07:00:00Z,GOES Active Fire detections,1,Tubbs,74238
2017-10-10T07:00:00Z,VPD (kPa),1.3391,Tubbs,74238
2017-10-10T08:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-10T08:00:00Z,VPD (kPa),1.2217,Tubbs,74238
2017-10-10T09:00:00Z,GOES Active Fire detections,2,Tubbs,74238
2017-10-10T09:00:00Z,VPD (kPa),1.0106,Tubbs,74238
2017-10-10T10:00:00Z,GOES Active Fire detections,2,Tubbs,74238
2017-10-10T10:00:00Z,VPD (kPa),0.91165,Tubbs,74238
2017-10-10T11:00:00Z,GOES Active Fire detections,6,Tubbs,74238
2017-10-10T11:00:00Z,VPD (kPa),0.48,Tubbs,74238
2017-10-10T12:00:00Z,GOES Active Fire detections,3,Tubbs,74238
2017-10-10T12:00:00Z,VPD (kPa),0.49485,Tubbs,74238
2017-10-10T13:00:00Z,GOES Active Fire detections,3,Tubbs,74238
2017-10-10T13:00:00Z,VPD (kPa),0.54688,Tubbs,74238
2017-10-10T14:00:00Z,GOES Active Fire detections,4,Tubbs,74238
2017-10-10T14:00:00Z,VPD (kPa),0.62494,Tubbs,74238
2017-10-10T15:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-10T15:00:00Z,VPD (kPa),0.64741,Tubbs,74238
2017-10-10T16:00:00Z,GOES Active Fire detections,1,Tubbs,74238
2017-10-10T16:00:00Z,VPD (kPa),0.85916,Tubbs,74238
2017-10-10T17:00:00Z,GOES Active Fire detections,1,Tubbs,74238
2017-10-10T17:00:00Z,VPD (kPa),1.1123,Tubbs,74238
2017-10-10T18:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-10T18:00:00Z,VPD (kPa),1.6447,Tubbs,74238
2017-10-10T19:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-10T19:00:00Z,VPD (kPa),1.9369,Tubbs,74238
2017-10-10T20:00:00Z,GOES Active Fire detections,6,Tubbs,74238
2017-10-10T20:00:00Z,VPD (kPa),2.24,Tubbs,74238
2017-10-10T21:00:00Z,GOES Active Fire detections,2,Tubbs,74238
2017-10-10T21:00:00Z,VPD (kPa),2.4357,Tubbs,74238
2017-10-10T22:00:00Z,GOES Active Fire detections,7,Tubbs,74238
2017-10-10T22:00:00Z,VPD (kPa),2.6519,Tubbs,74238
2017-10-10T23:00:00Z,GOES Active Fire detections,4,Tubbs,74238
2017-10-10T23:00:00Z,VPD (kPa),2.4021,Tubbs,74238
2017-10-11T00:00:00Z,GOES Active Fire detections,3,Tubbs,74238
2017-10-11T00:00:00Z,VPD (kPa),2.203,Tubbs,74238
2017-10-11T01:00:00Z,GOES Active Fire detections,8,Tubbs,74238
2017-10-11T01:00:00Z,VPD (kPa),1.9411,Tubbs,74238
2017-10-11T02:00:00Z,GOES Active Fire detections,8,Tubbs,74238
2017-10-11T02:00:00Z,VPD (kPa),1.823,Tubbs,74238
2017-10-11T03:00:00Z,GOES Active Fire detections,5,Tubbs,74238
2017-10-11T03:00:00Z,VPD (kPa),1.4378,Tubbs,74238
2017-10-11T04:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-11T04:00:00Z,VPD (kPa),1.0305,Tubbs,74238
2017-10-11T05:00:00Z,GOES Active Fire detections,4,Tubbs,74238
2017-10-11T05:00:00Z,VPD (kPa),0.89679,Tubbs,74238
2017-10-11T06:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-11T06:00:00Z,VPD (kPa),0.81403,Tubbs,74238
2017-10-11T07:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-11T07:00:00Z,VPD (kPa),0.75338,Tubbs,74238
2017-10-11T08:00:00Z,GOES Active Fire detections,1,Tubbs,74238
2017-10-11T08:00:00Z,VPD (kPa),0.66263,Tubbs,74238
2017-10-11T09:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-11T09:00:00Z,VPD (kPa),0.60589,Tubbs,74238
2017-10-11T10:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-11T10:00:00Z,VPD (kPa),0.53596,Tubbs,74238
2017-10-11T11:00:00Z,GOES Active Fire detections,2,Tubbs,74238
2017-10-11T11:00:00Z,VPD (kPa),0.37333,Tubbs,74238
2017-10-11T12:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-11T12:00:00Z,VPD (kPa),0.40953,Tubbs,74238
2017-10-11T13:00:00Z,GOES Active Fire detections,2,Tubbs,74238
2017-10-11T13:00:00Z,VPD (kPa),0.42105,Tubbs,74238
2017-10-11T14:00:00Z,GOES Active Fire detections,6,Tubbs,74238
2017-10-11T14:00:00Z,VPD (kPa),0.44905,Tubbs,74238
2017-10-11T15:00:00Z,GOES Active Fire detections,0,Tubbs,74238
2017-10-11T15:00:00Z,VPD (kPa),0.4889,Tubbs,74238
