361,0,11
361,1,13.29
361,2,15.194
361,3,16.355
361,4,16.129
361,5,14.323
361,6,12
361,7,11.935
361,8,10.129
361,9,9.7419
361,10,5.7097
361,11,5.4839
361,12,4.3548
361,13,4.3871
361,14,4.1935
361,15,4.3871
361,16,4.871
361,17,5.5484
361,18,5.9677
361,19,6.2581
361,20,7.8387
361,21,10.194
361,22,22.645
361,23,28.484
362,0,36.032
362,1,33
362,2,30.129
362,3,28.032
362,4,27.097
362,5,24.677
362,6,21.258
362,7,20.806
362,8,18.548
362,9,17.677
362,10,13.645
362,11,12.935
362,12,11.258
362,13,11.581
362,14,11.258
362,15,9.8387
362,16,9.5806
362,17,8.7742
362,18,7.9355
362,19,7.5161
362,20,6.7419
362,21,5.7742
362,22,11.194
362,23,14.419
363,0,20.516
363,1,25.097
363,2,27.871
363,3,29.194
363,4,28.516
363,5,27.161
363,6,20.742
363,7,21.516
363,8,20.548
363,9,19.387
363,10,14.355
363,11,14.032
363,12,12
363,13,11.935
363,14,12.161
363,15,11.903
363,16,12.097
363,17,11.581
363,18,11.581
363,19,11.516
363,20,12.645
363,21,14.903
363,22,26.935
363,23,35.032
364,0,43.452
364,1,48.452
364,2,50
364,3,50.258
364,4,48.355
364,5,50.452
364,6,43.387
364,7,42.516
364,8,39.516
364,9,39.839
364,10,30.774
364,11,27.806
364,12,24.645
364,13,26
364,14,25.032
364,15,21.452
364,16,18.645
364,17,14.871
364,18,10.806
364,19,8.3548
364,20,7.4516
364,21,6.2258
364,22,6.7419
364,23,6.2903
365,0,7.1613
365,1,7.3226
365,2,6.7742
365,3,6.3548
365,4,6.4194
365,5,6.6129
365,6,7.0323
365,7,6.7419
365,8,6.2581
365,9,6.5161
365,10,5.6129
365,11,5.3871
365,12,4.9032
365,13,5
365,14,4.3226
365,15,3.6452
365,16,3.6129
365,17,3.4194
365,18,3
365,19,3.0968
365,20,3.2581
365,21,4
365,22,6.0645
365,23,7.4516
1,0,9.6774
1,1,11.258
1,2,12.839
1,3,13.161
1,4,12.935
1,5,12.387
1,6,10.839
1,7,10
1,8,8.6129
1,9,8.7097
1,10,5.6129
1,11,4.6129
1,12,3.9677
1,13,3.7419
1,14,3.0968
1,15,2.3548
1,16,2.129
1,17,1.8065
1,18,1.6129
1,19,1.6129
1,20,2.0323
1,21,3.8387
1,22,6.5161
1,23,8.7419
2,0,11.677
2,1,13.419
2,2,14.387
2,3,14.581
2,4,14
2,5,12.742
2,6,10.258
2,7,9.6129
2,8,8.3226
2,9,7.871
2,10,5.0645
2,11,3.7742
2,12,2.6129
2,13,2.5484
2,14,2.3226
2,15,2.3226
2,16,2.129
2,17,2.1613
2,18,2
2,19,1.9677
2,20,2.2903
2,21,4.0968
2,22,6.1935
2,23,8.129
3,0,11.71
3,1,13.419
3,2,16.806
3,3,18.613
3,4,19.065
3,5,19.677
3,6,16.484
3,7,14.774
3,8,12.161
3,9,10.548
3,10,6
3,11,4.9032
3,12,4.3226
3,13,4.0323
3,14,3.6452
3,15,3.1613
3,16,3.3871
3,17,3.6774
3,18,4
3,19,4.2903
3,20,5.8387
3,21,9.2903
3,22,15.742
3,23,27.387
4,0,41.29
4,1,46.71
4,2,45
4,3,34.71
4,4,23.903
4,5,16.806
4,6,12.452
4,7,8.8387
4,8,6.7097
4,9,6.7097
4,10,5.6774
4,11,5.9032
4,12,5.2903
4,13,5.3226
4,14,5.2903
4,15,5.3548
4,16,5.3226
4,17,4.8387
4,18,4.1935
4,19,4.3226
4,20,4.2581
4,21,4.0645
4,22,4.3871
4,23,4.7742
5,0,5.1935
5,1,5.2903
5,2,5.3548
5,3,5.0323
5,4,5.129
5,5,4.6129
5,6,3.3871
5,7,2.9032
5,8,2.2903
5,9,1.9032
5,10,0.58065
5,11,0.58065
5,12,0.48387
5,13,0.51613
5,14,0.48387
5,15,0.58065
5,16,0.74194
5,17,0.74194
5,18,0.87097
5,19,0.96774
5,20,1.0645
5,21,1
5,22,2.129
5,23,2.5806
6,0,3
6,1,2.8065
6,2,2.2581
6,3,1.8387
6,4,0.77419
6,5,0.67742
6,6,0.51613
6,7,0.45161
6,8,0.41935
6,9,0.41935
6,10,0.22581
6,11,0.22581
6,12,0.22581
6,13,0.22581
6,14,0.32258
6,15,0.35484
6,16,0.35484
6,17,0.29032
6,18,0.32258
6,19,0.32258
6,20,0.29032
6,21,0.41935
6,22,1.0323
6,23,1.7742
